Date,Close,Open,High,Low
01/03/2017,1222.70,1189.30,1225.00,1154.60
02/03/2017,1255.50,1222.70,1287.00,1212.00
03/03/2017,1283.30,1255.50,1291.30,1250.80
04/03/2017,1264.30,1283.30,1285.80,1228.70
05/03/2017,1271.20,1264.30,1273.30,1242.10
06/03/2017,1277.00,1271.20,1280.60,1261.00
07/03/2017,1232.70,1277.00,1280.90,1148.70
08/03/2017,1147.00,1232.70,1242.00,1136.90
09/03/2017,1191.30,1147.00,1207.00,1129.30
10/03/2017,1112.40,1191.30,1330.40,988.70
11/03/2017,1179.20,1112.40,1202.70,1104.80
12/03/2017,1225.10,1179.20,1235.50,1160.90
13/03/2017,1238.20,1225.10,1245.60,1205.60
14/03/2017,1243.10,1238.20,1255.50,1218.40
15/03/2017,1253.40,1243.10,1256.90,1236.40
16/03/2017,1172.90,1253.40,1260.20,1119.00
17/03/2017,1071.70,1172.90,1174.90,1063.50
18/03/2017,971.40,1071.70,1103.60,940.20
19/03/2017,1022.60,971.40,1063.70,967.30
20/03/2017,1047.50,1022.60,1057.50,1005.00
21/03/2017,1121.30,1047.50,1125.50,1043.90
22/03/2017,1044.70,1121.30,1121.90,997.80
23/03/2017,1035.00,1044.70,1062.80,1022.00
24/03/2017,939.70,1035.00,1038.40,927.30
25/03/2017,966.30,939.70,996.00,890.40
26/03/2017,969.40,966.30,1004.30,946.70
27/03/2017,1045.10,969.40,1048.80,961.80
28/03/2017,1044.40,1045.10,1068.40,1015.50
29/03/2017,1041.90,1044.40,1058.70,1008.30
30/03/2017,1037.90,1041.90,1052.70,1020.90
31/03/2017,1079.10,1037.90,1088.20,1035.20
01/04/2017,1086.10,1079.10,1103.70,1067.50
02/04/2017,1097.40,1086.10,1109.50,1074.20
03/04/2017,1147.60,1097.40,1157.90,1095.60
04/04/2017,1141.80,1147.60,1161.20,1122.20
05/04/2017,1129.90,1141.80,1143.80,1110.10
06/04/2017,1188.70,1129.90,1201.60,1130.50
07/04/2017,1190.50,1188.70,1201.20,1173.20
08/04/2017,1180.80,1190.50,1198.20,1166.70
09/04/2017,1204.30,1180.80,1215.10,1174.00
10/04/2017,1206.70,1204.30,1214.90,1194.80
11/04/2017,1220.70,1206.70,1229.60,1195.80
12/04/2017,1212.50,1220.70,1225.50,1207.40
13/04/2017,1176.20,1212.50,1218.70,1150.30
14/04/2017,1177.30,1176.20,1195.40,1162.20
15/04/2017,1177.00,1177.30,1194.80,841.50
16/04/2017,1176.80,1177.00,1188.00,1166.70
17/04/2017,1194.00,1176.80,1203.00,1172.80
18/04/2017,1206.10,1194.00,1213.90,1191.10
19/04/2017,1215.20,1206.10,1218.20,1194.10
20/04/2017,1238.10,1215.20,1246.60,1210.70
21/04/2017,1249.60,1238.10,1257.00,1235.60
